전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 673/1219    2024-02-22 16:14:00     1.1     2024-02-22 16:23:59
processing data ... 674/1219    2024-02-22 16:14:02     1.51    2024-02-22 16:27:47
processing data ... 675/1219    2024-02-22 16:14:03     1.48    2024-02-22 16:27:27
processing data ... 676/1219    2024-02-22 16:14:05     1.41    2024-02-22 16:26:48
processing data ... 677/1219    2024-02-22 16:14:06     1.47    2024-02-22 16:27:24
processing data ... 678/1219    2024-02-22 16:14:08     1.41    2024-02-22 16:26:52
processing data ... 679/1219    2024-02-22 16:14:09     1.54    2024-02-22 16:27:59
processing data ... 680/1219    2024-02-22 16:14:10     1.41    2024-02-22 16:26:50
processing data ... 681/1219    2024-02-22 16:14:12     1.4     2024-02-22 16:26:44
processing data ... 682/1219    2024-02-22 16:14:13     1.33    2024-02-22 16:26:08
processing data ... 683/1219    2024-02-22 16:14:15     1.48    2024-02-22 16:27:28
processing data ... 684/1219    2024-02-22 16:14:16     1.54    2024-02-22 16:27:58
processing data ... 685/1219    2024-02-22 16:14:18     1.44    2024-02-22 16:27:04
processing data ... 686/1219    2024-02-22 16:14:19     1.4     2024-02-22 16:26:48
processing data ... 687/1219    2024-02-22 16:14:21     1.45    2024-02-22 16:27:10
processing data ... 688/1219    2024-02-22 16:14:22     1.47    2024-02-22 16:27:21
processing data ... 689/1219    2024-02-22 16:14:23     1.48    2024-02-22 16:27:28
processing data ... 690/1219    2024-02-22 16:14:25     1.19    2024-02-22 16:24:52
processing data ... 691/1219    2024-02-22 16:14:26     1.06    2024-02-22 16:23:48
processing data ... 692/1219    2024-02-22 16:14:27     1.3     2024-02-22 16:25:53
processing data ... 693/1219    2024-02-22 16:14:28     1.47    2024-02-22 16:27:23
processing data ... 694/1219    2024-02-22 16:14:30     1.22    2024-02-22 16:25:11
processing data ... 695/1219    2024-02-22 16:14:31     1.47    2024-02-22 16:27:21
processing data ... 696/1219    2024-02-22 16:14:33     1.45    2024-02-22 16:27:10
processing data ... 697/1219    2024-02-22 16:14:35     2.07    2024-02-22 16:32:35
processing data ... 698/1219    2024-02-22 16:14:37     2.64    2024-02-22 16:37:35
processing data ... 699/1219    2024-02-22 16:14:39     1.51    2024-02-22 16:27:43
processing data ... 700/1219    2024-02-22 16:14:40     1.35    2024-02-22 16:26:23
processing data ... 701/1219    2024-02-22 16:14:42     2.24    2024-02-22 16:34:02
processing data ... 702/1219    2024-02-22 16:14:44     1.11    2024-02-22 16:24:19
processing data ... 703/1219    2024-02-22 16:14:45     1.43    2024-02-22 16:27:02
processing data ... 704/1219    2024-02-22 16:14:46     1.18    2024-02-22 16:24:53
processing data ... 705/1219    2024-02-22 16:14:48     1.69    2024-02-22 16:29:17
processing data ... 706/1219    2024-02-22 16:14:49     1.42    2024-02-22 16:26:59
processing data ... 707/1219    2024-02-22 16:14:51     1.4     2024-02-22 16:26:48
processing data ... 708/1219    2024-02-22 16:14:52     1.52    2024-02-22 16:27:48
processing data ... 709/1219    2024-02-22 16:14:54     1.72    2024-02-22 16:29:32
processing data ... 710/1219    2024-02-22 16:14:55     1.24    2024-02-22 16:25:24
processing data ... 711/1219    2024-02-22 16:14:57     1.49    2024-02-22 16:27:34
processing data ... 712/1219    2024-02-22 16:14:58     1.47    2024-02-22 16:27:22
processing data ... 713/1219    2024-02-22 16:15:00     1.86    2024-02-22 16:30:42
processing data ... 714/1219    2024-02-22 16:15:01     1.52    2024-02-22 16:27:50
processing data ... 715/1219    2024-02-22 16:15:03     1.17    2024-02-22 16:24:52
processing data ... 716/1219    2024-02-22 16:15:04     1.55    2024-02-22 16:28:04
processing data ... 717/1219    2024-02-22 16:15:06     1.57    2024-02-22 16:28:12
processing data ... 718/1219    2024-02-22 16:15:07     1.39    2024-02-22 16:26:43
processing data ... 719/1219    2024-02-22 16:15:08     1.31    2024-02-22 16:26:04
processing data ... 720/1219    2024-02-22 16:15:10     1.49    2024-02-22 16:27:33
processing data ... 721/1219    2024-02-22 16:15:12     1.6     2024-02-22 16:28:29
processing data ... 722/1219    2024-02-22 16:15:13     1.5     2024-02-22 16:27:38
processing data ... 723/1219    2024-02-22 16:15:15     1.65    2024-02-22 16:28:52
processing data ... 724/1219    2024-02-22 16:15:17     1.86    2024-02-22 16:30:37
processing data ... 725/1219    2024-02-22 16:15:18     1.66    2024-02-22 16:29:00
processing data ... 726/1219    2024-02-22 16:15:20     1.65    2024-02-22 16:28:51
processing data ... 727/1219    2024-02-22 16:15:21     1.42    2024-02-22 16:26:59
processing data ... 728/1219    2024-02-22 16:15:22     1.06    2024-02-22 16:24:03
processing data ... 729/1219    2024-02-22 16:15:24     1.73    2024-02-22 16:29:33
processing data ... 730/1219    2024-02-22 16:15:26     1.94    2024-02-22 16:31:16
processing data ... 731/1219    2024-02-22 16:15:27     1.13    2024-02-22 16:24:41
processing data ... 732/1219    2024-02-22 16:15:28     1.33    2024-02-22 16:26:18
processing data ... 733/1219    2024-02-22 16:15:30     1.64    2024-02-22 16:28:48
processing data ... 734/1219    2024-02-22 16:15:32     1.86    2024-02-22 16:30:34
processing data ... 735/1219    2024-02-22 16:15:34     1.86    2024-02-22 16:30:36
processing data ... 736/1219    2024-02-22 16:15:35     1.28    2024-02-22 16:25:51
processing data ... 737/1219    2024-02-22 16:15:37     1.61    2024-02-22 16:28:33
processing data ... 738/1219    2024-02-22 16:15:38     1.19    2024-02-22 16:25:12
processing data ... 739/1219    2024-02-22 16:15:39     1.28    2024-02-22 16:25:52
processing data ... 740/1219    2024-02-22 16:15:44     5.22    2024-02-22 16:57:23
processing data ... 741/1219    2024-02-22 16:15:46     1.11    2024-02-22 16:24:38
processing data ... 742/1219    2024-02-22 16:15:47     1.16    2024-02-22 16:25:01
processing data ... 743/1219    2024-02-22 16:15:48     1.14    2024-02-22 16:24:51
processing data ... 744/1219    2024-02-22 16:15:49     1.37    2024-02-22 16:26:38
processing data ... 745/1219    2024-02-22 16:15:50     1.14    2024-02-22 16:24:52
processing data ... 746/1219    2024-02-22 16:15:51     1.03    2024-02-22 16:24:01
processing data ... 747/1219    2024-02-22 16:15:53     1.18    2024-02-22 16:25:08
processing data ... 748/1219    2024-02-22 16:15:54     1.34    2024-02-22 16:26:24
processing data ... 749/1219    2024-02-22 16:15:55     1.52    2024-02-22 16:27:50
processing data ... 750/1219    2024-02-22 16:15:56     1.03    2024-02-22 16:24:01
processing data ... 751/1219    2024-02-22 16:15:58     1.07    2024-02-22 16:24:16
processing data ... 752/1219    2024-02-22 16:15:59     1.33    2024-02-22 16:26:22
processing data ... 753/1219    2024-02-22 16:16:01     1.73    2024-02-22 16:29:29
processing data ... 754/1219    2024-02-22 16:16:02     1.26    2024-02-22 16:25:50
processing data ... 755/1219    2024-02-22 16:16:03     1.49    2024-02-22 16:27:37
processing data ... 756/1219    2024-02-22 16:16:05     1.43    2024-02-22 16:27:08
processing data ... 757/1219    2024-02-22 16:16:07     1.74    2024-02-22 16:29:30
processing data ... 758/1219    2024-02-22 16:16:08     1.19    2024-02-22 16:25:18
processing data ... 759/1219    2024-02-22 16:16:09     1.11    2024-02-22 16:24:41
processing data ... 760/1219    2024-02-22 16:16:10     1.42    2024-02-22 16:27:04
processing data ... 761/1219    2024-02-22 16:16:11     1.12    2024-02-22 16:24:43
processing data ... 762/1219    2024-02-22 16:16:13     1.35    2024-02-22 16:26:28
processing data ... 763/1219    2024-02-22 16:16:14     1.48    2024-02-22 16:27:28
processing data ... 764/1219    2024-02-22 16:16:15     1.17    2024-02-22 16:25:07
processing data ... 765/1219    2024-02-22 16:16:17     1.22    2024-02-22 16:25:31
processing data ... 766/1219    2024-02-22 16:16:18     1.18    2024-02-22 16:25:11
processing data ... 767/1219    2024-02-22 16:16:19     1.61    2024-02-22 16:28:29
processing data ... 768/1219    2024-02-22 16:16:21     1.42    2024-02-22 16:27:03
processing data ... 769/1219    2024-02-22 16:16:22     1.37    2024-02-22 16:26:38
processing data ... 770/1219    2024-02-22 16:16:24     1.63    2024-02-22 16:28:34
processing data ... 771/1219    2024-02-22 16:16:26     1.84    2024-02-22 16:30:11
processing data ... 772/1219    2024-02-22 16:16:27     1.11    2024-02-22 16:24:43
processing data ... 773/1219    2024-02-22 16:16:28     1.39    2024-02-22 16:26:48
processing data ... 774/1219    2024-02-22 16:16:30     1.54    2024-02-22 16:27:55
processing data ... 775/1219    2024-02-22 16:16:31     1.48    2024-02-22 16:27:28
processing data ... 776/1219    2024-02-22 16:16:32     1.09    2024-02-22 16:24:36
processing data ... 777/1219    2024-02-22 16:16:34     1.72    2024-02-22 16:29:13
processing data ... 778/1219    2024-02-22 16:16:35     1.21    2024-02-22 16:25:27
processing data ... 779/1219    2024-02-22 16:16:36     1.28    2024-02-22 16:26:01
processing data ... 780/1219    2024-02-22 16:16:38     1.24    2024-02-22 16:25:43
processing data ... 781/1219    2024-02-22 16:16:39     1.67    2024-02-22 16:28:49
processing data ... 782/1219    2024-02-22 16:16:41     1.36    2024-02-22 16:26:33
processing data ... 783/1219    2024-02-22 16:16:42     1.05    2024-02-22 16:24:20
processing data ... 784/1219    2024-02-22 16:16:43     1.18    2024-02-22 16:25:17
processing data ... 785/1219    2024-02-22 16:16:44     1.46    2024-02-22 16:27:18
processing data ... 786/1219    2024-02-22 16:16:46     1.35    2024-02-22 16:26:30
processing data ... 787/1219    2024-02-22 16:16:47     1.32    2024-02-22 16:26:18
processing data ... 788/1219    2024-02-22 16:16:49     1.48    2024-02-22 16:27:27
processing data ... 789/1219    2024-02-22 16:16:50     1.53    2024-02-22 16:27:50
processing data ... 790/1219    2024-02-22 16:16:51     1.19    2024-02-22 16:25:22
processing data ... 791/1219    2024-02-22 16:16:53     1.22    2024-02-22 16:25:36
processing data ... 792/1219    2024-02-22 16:16:54     1.89    2024-02-22 16:30:21
processing data ... 793/1219    2024-02-22 16:16:56     1.76    2024-02-22 16:29:26
processing data ... 794/1219    2024-02-22 16:16:57     1.2     2024-02-22 16:25:27
processing data ... 795/1219    2024-02-22 16:16:59     1.39    2024-02-22 16:26:50
processing data ... 796/1219    2024-02-22 16:17:01     2.13    2024-02-22 16:32:03
processing data ... 797/1219    2024-02-22 16:17:02     1.01    2024-02-22 16:24:10
processing data ... 798/1219    2024-02-22 16:17:03     1.15    2024-02-22 16:25:09
processing data ... 799/1219    2024-02-22 16:17:06     2.65    2024-02-22 16:35:39
processing data ... 800/1219    2024-02-22 16:17:07     1.14    2024-02-22 16:25:05
processing data ... 801/1219    2024-02-22 16:17:09     2.21    2024-02-22 16:32:34
processing data ... 802/1219    2024-02-22 16:17:12     2.49    2024-02-22 16:34:29
processing data ... 803/1219    2024-02-22 16:17:14     2.6     2024-02-22 16:35:18
processing data ... 804/1219    2024-02-22 16:17:17     3.3     2024-02-22 16:40:07
processing data ... 805/1219    2024-02-22 16:17:19     1.21    2024-02-22 16:25:38
processing data ... 806/1219    2024-02-22 16:17:20     1.6     2024-02-22 16:28:23
processing data ... 807/1219    2024-02-22 16:17:22     1.5     2024-02-22 16:27:41
processing data ... 808/1219    2024-02-22 16:17:23     1.23    2024-02-22 16:25:50
processing data ... 809/1219    2024-02-22 16:17:24     1.4     2024-02-22 16:26:57
processing data ... 810/1219    2024-02-22 16:17:26     1.38    2024-02-22 16:26:51
processing data ... 811/1219    2024-02-22 16:17:27     1.33    2024-02-22 16:26:28
processing data ... 812/1219    2024-02-22 16:17:29     1.61    2024-02-22 16:28:24
processing data ... 813/1219    2024-02-22 16:17:30     1.33    2024-02-22 16:26:30
processing data ... 814/1219    2024-02-22 16:17:31     1.44    2024-02-22 16:27:13
processing data ... 815/1219    2024-02-22 16:17:33     1.67    2024-02-22 16:28:49
processing data ... 816/1219    2024-02-22 16:17:35     1.57    2024-02-22 16:28:06
processing data ... 817/1219    2024-02-22 16:17:36     1.57    2024-02-22 16:28:07
processing data ... 818/1219    2024-02-22 16:17:38     1.4     2024-02-22 16:27:01
processing data ... 819/1219    2024-02-22 16:17:39     1.34    2024-02-22 16:26:34
processing data ... 820/1219    2024-02-22 16:17:40     1.47    2024-02-22 16:27:27
processing data ... 821/1219    2024-02-22 16:17:42     1.35    2024-02-22 16:26:40
processing data ... 822/1219    2024-02-22 16:17:44     1.67    2024-02-22 16:28:47
processing data ... 823/1219    2024-02-22 16:17:45     1.44    2024-02-22 16:27:15
processing data ... 824/1219    2024-02-22 16:17:47     1.56    2024-02-22 16:28:04
processing data ... 825/1219    2024-02-22 16:17:48     1.41    2024-02-22 16:27:02
processing data ... 826/1219    2024-02-22 16:17:49     1.21    2024-02-22 16:25:46
processing data ... 827/1219    2024-02-22 16:17:50     1.06    2024-02-22 16:24:47
processing data ... 828/1219    2024-02-22 16:17:52     1.49    2024-02-22 16:27:35
processing data ... 829/1219    2024-02-22 16:17:53     1.45    2024-02-22 16:27:20
processing data ... 830/1219    2024-02-22 16:17:55     1.43    2024-02-22 16:27:09
processing data ... 831/1219    2024-02-22 16:17:56     1.71    2024-02-22 16:28:59
processing data ... 832/1219    2024-02-22 16:18:02     5.79    2024-02-22 16:55:21
processing data ... 833/1219    2024-02-22 16:18:04     1.6     2024-02-22 16:28:21
processing data ... 834/1219    2024-02-22 16:18:05     1.44    2024-02-22 16:27:19
processing data ... 835/1219    2024-02-22 16:18:07     1.4     2024-02-22 16:27:04
processing data ... 836/1219    2024-02-22 16:18:08     1.53    2024-02-22 16:27:52
processing data ... 837/1219    2024-02-22 16:18:10     1.58    2024-02-22 16:28:11
processing data ... 838/1219    2024-02-22 16:18:11     1.07    2024-02-22 16:24:59
processing data ... 839/1219    2024-02-22 16:18:12     1.33    2024-02-22 16:26:39
processing data ... 840/1219    2024-02-22 16:18:13     1.43    2024-02-22 16:27:14
processing data ... 841/1219    2024-02-22 16:18:15     1.58    2024-02-22 16:28:13
processing data ... 842/1219    2024-02-22 16:18:17     1.56    2024-02-22 16:28:06
processing data ... 843/1219    2024-02-22 16:18:18     1.06    2024-02-22 16:24:58
processing data ... 844/1219    2024-02-22 16:18:19     1.47    2024-02-22 16:27:32
processing data ... 845/1219    2024-02-22 16:18:21     1.42    2024-02-22 16:27:13
processing data ... 846/1219    2024-02-22 16:18:22     1.56    2024-02-22 16:28:02
processing data ... 847/1219    2024-02-22 16:18:24     1.57    2024-02-22 16:28:07
processing data ... 848/1219    2024-02-22 16:18:25     1.12    2024-02-22 16:25:19
processing data ... 849/1219    2024-02-22 16:18:26     1.36    2024-02-22 16:26:50
processing data ... 850/1219    2024-02-22 16:18:28     1.73    2024-02-22 16:29:06
processing data ... 851/1219    2024-02-22 16:18:29     1.51    2024-02-22 16:27:44
processing data ... 852/1219    2024-02-22 16:18:31     1.59    2024-02-22 16:28:15
processing data ... 853/1219    2024-02-22 16:18:33     1.62    2024-02-22 16:28:26
processing data ... 854/1219    2024-02-22 16:18:34     1.81    2024-02-22 16:29:34
processing data ... 855/1219    2024-02-22 16:18:36     1.36    2024-02-22 16:26:50
processing data ... 856/1219    2024-02-22 16:18:37     1.5     2024-02-22 16:27:42
processing data ... 857/1219    2024-02-22 16:18:39     1.69    2024-02-22 16:28:52
processing data ... 858/1219    2024-02-22 16:18:40     1.22    2024-02-22 16:26:01
processing data ... 859/1219    2024-02-22 16:18:43     2.35    2024-02-22 16:32:50
processing data ... 860/1219    2024-02-22 16:18:44     1.57    2024-02-22 16:28:09
processing data ... 861/1219    2024-02-22 16:18:45     1.11    2024-02-22 16:25:23
processing data ... 862/1219    2024-02-22 16:18:47     1.65    2024-02-22 16:28:37
processing data ... 863/1219    2024-02-22 16:18:48     1.22    2024-02-22 16:26:02
processing data ... 864/1219    2024-02-22 16:18:50     1.5     2024-02-22 16:27:40
processing data ... 865/1219    2024-02-22 16:18:51     1.17    2024-02-22 16:25:43
processing data ... 866/1219    2024-02-22 16:18:52     1.5     2024-02-22 16:27:40
processing data ... 867/1219    2024-02-22 16:18:53     1.24    2024-02-22 16:26:10
processing data ... 868/1219    2024-02-22 16:18:55     1.14    2024-02-22 16:25:34
processing data ... 869/1219    2024-02-22 16:18:56     1.49    2024-02-22 16:27:39
processing data ... 870/1219    2024-02-22 16:18:58     1.46    2024-02-22 16:27:25
processing data ... 871/1219    2024-02-22 16:18:59     1.57    2024-02-22 16:28:06
processing data ... 872/1219    2024-02-22 16:19:01     1.62    2024-02-22 16:28:22
processing data ... 873/1219    2024-02-22 16:19:03     1.88    2024-02-22 16:29:55
processing data ... 874/1219    2024-02-22 16:19:04     1.38    2024-02-22 16:27:02
processing data ... 875/1219    2024-02-22 16:19:05     1.3     2024-02-22 16:26:32
processing data ... 876/1219    2024-02-22 16:19:07     1.49    2024-02-22 16:27:38
processing data ... 877/1219    2024-02-22 16:19:08     1.25    2024-02-22 16:26:16
processing data ... 878/1219    2024-02-22 16:19:09     1.28    2024-02-22 16:26:27
processing data ... 879/1219    2024-02-22 16:19:10     1.04    2024-02-22 16:25:05
processing data ... 880/1219    2024-02-22 16:19:12     1.65    2024-02-22 16:28:31
processing data ... 881/1219    2024-02-22 16:19:13     1.34    2024-02-22 16:26:46
processing data ... 882/1219    2024-02-22 16:19:15     1.77    2024-02-22 16:29:11
processing data ... 883/1219    2024-02-22 16:19:17     1.44    2024-02-22 16:27:21
processing data ... 884/1219    2024-02-22 16:19:18     1.25    2024-02-22 16:26:17
processing data ... 885/1219    2024-02-22 16:19:19     1.35    2024-02-22 16:26:51
processing data ... 886/1219    2024-02-22 16:19:21     1.8     2024-02-22 16:29:22
processing data ... 887/1219    2024-02-22 16:19:23     1.85    2024-02-22 16:29:36
processing data ... 888/1219    2024-02-22 16:19:24     1.45    2024-02-22 16:27:23
processing data ... 889/1219    2024-02-22 16:19:25     1.12    2024-02-22 16:25:34
processing data ... 890/1219    2024-02-22 16:19:27     1.69    2024-02-22 16:28:44
processing data ... 891/1219    2024-02-22 16:19:29     1.7     2024-02-22 16:28:47
processing data ... 892/1219    2024-02-22 16:19:30     1.14    2024-02-22 16:25:42
processing data ... 893/1219    2024-02-22 16:19:31     1.42    2024-02-22 16:27:14
processing data ... 894/1219    2024-02-22 16:19:33     1.15    2024-02-22 16:25:46
processing data ... 895/1219    2024-02-22 16:19:34     1.63    2024-02-22 16:28:23
processing data ... 896/1219    2024-02-22 16:19:36     1.52    2024-02-22 16:27:46
processing data ... 897/1219    2024-02-22 16:19:37     1.35    2024-02-22 16:26:51
processing data ... 898/1219    2024-02-22 16:19:39     1.62    2024-02-22 16:28:19
processing data ... 899/1219    2024-02-22 16:19:40     1.16    2024-02-22 16:25:50
processing data ... 900/1219    2024-02-22 16:19:41     1.53    2024-02-22 16:27:50
processing data ... 901/1219    2024-02-22 16:19:43     1.31    2024-02-22 16:26:38
processing data ... 902/1219    2024-02-22 16:19:44     1.72    2024-02-22 16:28:51
processing data ... 903/1219    2024-02-22 16:19:46     1.68    2024-02-22 16:28:37
processing data ... 904/1219    2024-02-22 16:19:47     1.29    2024-02-22 16:26:34
processing data ... 905/1219    2024-02-22 16:19:49     1.44    2024-02-22 16:27:21
processing data ... 906/1219    2024-02-22 16:19:50     1.09    2024-02-22 16:25:31
processing data ... 907/1219    2024-02-22 16:19:51     1.08    2024-02-22 16:25:29
processing data ... 908/1219    2024-02-22 16:19:52     1.37    2024-02-22 16:26:57
processing data ... 909/1219    2024-02-22 16:19:54     1.4     2024-02-22 16:27:09
processing data ... 910/1219    2024-02-22 16:19:55     1.4     2024-02-22 16:27:06
processing data ... 911/1219    2024-02-22 16:19:57     1.77    2024-02-22 16:29:01
processing data ... 912/1219    2024-02-22 16:19:58     1.52    2024-02-22 16:27:46
processing data ... 913/1219    2024-02-22 16:20:00     1.3     2024-02-22 16:26:39
processing data ... 914/1219    2024-02-22 16:20:01     1.54    2024-02-22 16:27:51
processing data ... 915/1219    2024-02-22 16:20:03     1.44    2024-02-22 16:27:19
processing data ... 916/1219    2024-02-22 16:20:05     1.92    2024-02-22 16:29:48
processing data ... 917/1219    2024-02-22 16:20:06     1.32    2024-02-22 16:26:46
processing data ... 918/1219    2024-02-22 16:20:07     1.37    2024-02-22 16:27:01
processing data ... 919/1219    2024-02-22 16:20:09     1.7     2024-02-22 16:28:40
processing data ... 920/1219    2024-02-22 16:20:11     1.57    2024-02-22 16:28:00
processing data ... 921/1219    2024-02-22 16:20:12     1.68    2024-02-22 16:28:34
processing data ... 922/1219    2024-02-22 16:20:13     1.12    2024-02-22 16:25:46
processing data ... 923/1219    2024-02-22 16:20:15     1.73    2024-02-22 16:28:46
processing data ... 924/1219    2024-02-22 16:20:17     1.75    2024-02-22 16:28:52
processing data ... 925/1219    2024-02-22 16:20:18     1.61    2024-02-22 16:28:12
processing data ... 926/1219    2024-02-22 16:20:20     1.5     2024-02-22 16:27:40
processing data ... 927/1219    2024-02-22 16:20:22     2.04    2024-02-22 16:30:16
processing data ... 928/1219    2024-02-22 16:20:24     1.99    2024-02-22 16:30:04
processing data ... 929/1219    2024-02-22 16:20:26     1.94    2024-02-22 16:29:50
processing data ... 930/1219    2024-02-22 16:20:28     1.64    2024-02-22 16:28:23
processing data ... 931/1219    2024-02-22 16:20:30     2.09    2024-02-22 16:30:33
processing data ... 932/1219    2024-02-22 16:20:32     2.03    2024-02-22 16:30:14
processing data ... 933/1219    2024-02-22 16:20:33     1.57    2024-02-22 16:28:03
processing data ... 934/1219    2024-02-22 16:20:34     1.18    2024-02-22 16:26:10
processing data ... 935/1219    2024-02-22 16:20:36     1.17    2024-02-22 16:26:07
processing data ... 936/1219    2024-02-22 16:20:37     1.16    2024-02-22 16:26:04
processing data ... 937/1219    2024-02-22 16:20:38     1.35    2024-02-22 16:26:58
processing data ... 938/1219    2024-02-22 16:20:39     1.2     2024-02-22 16:26:17
processing data ... 939/1219    2024-02-22 16:20:41     1.89    2024-02-22 16:29:30
processing data ... 940/1219    2024-02-22 16:20:43     1.66    2024-02-22 16:28:27
processing data ... 941/1219    2024-02-22 16:20:44     1.02    2024-02-22 16:25:26
processing data ... 942/1219    2024-02-22 16:20:45     1.28    2024-02-22 16:26:39
processing data ... 943/1219    2024-02-22 16:20:47     1.37    2024-02-22 16:27:05
processing data ... 944/1219    2024-02-22 16:20:48     1.53    2024-02-22 16:27:50
processing data ... 945/1219    2024-02-22 16:20:50     1.8     2024-02-22 16:29:04
processing data ... 946/1219    2024-02-22 16:20:51     1.34    2024-02-22 16:26:57
processing data ... 947/1219    2024-02-22 16:20:53     1.32    2024-02-22 16:26:52
processing data ... 948/1219    2024-02-22 16:20:54     1.62    2024-02-22 16:28:13
processing data ... 949/1219    2024-02-22 16:20:56     1.79    2024-02-22 16:29:00
processing data ... 950/1219    2024-02-22 16:20:58     1.6     2024-02-22 16:28:09
processing data ... 951/1219    2024-02-22 16:20:59     1.07    2024-02-22 16:25:47
processing data ... 952/1219    2024-02-22 16:21:00     1.1     2024-02-22 16:25:54
processing data ... 953/1219    2024-02-22 16:21:01     1.6     2024-02-22 16:28:08
processing data ... 954/1219    2024-02-22 16:21:03     1.34    2024-02-22 16:26:59
processing data ... 955/1219    2024-02-22 16:21:04     1.43    2024-02-22 16:27:21
processing data ... 956/1219    2024-02-22 16:21:05     1.37    2024-02-22 16:27:06
processing data ... 957/1219    2024-02-22 16:21:10     4.11    2024-02-22 16:39:08
processing data ... 958/1219    2024-02-22 16:21:11     1.67    2024-02-22 16:28:28
processing data ... 959/1219    2024-02-22 16:21:12     1.25    2024-02-22 16:26:39
processing data ... 960/1219    2024-02-22 16:21:14     1.54    2024-02-22 16:27:52
processing data ... 961/1219    2024-02-22 16:21:15     1.24    2024-02-22 16:26:36
processing data ... 962/1219    2024-02-22 16:21:17     1.68    2024-02-22 16:28:28
processing data ... 963/1219    2024-02-22 16:21:21     4.4     2024-02-22 16:40:07
processing data ... 964/1219    2024-02-22 16:21:23     1.49    2024-02-22 16:27:43
processing data ... 965/1219    2024-02-22 16:21:25     1.73    2024-02-22 16:28:44
processing data ... 966/1219    2024-02-22 16:21:26     1.85    2024-02-22 16:29:14
processing data ... 967/1219    2024-02-22 16:21:28     1.69    2024-02-22 16:28:33
processing data ... 968/1219    2024-02-22 16:21:29     1.27    2024-02-22 16:26:47
processing data ... 969/1219    2024-02-22 16:21:31     1.29    2024-02-22 16:26:52
processing data ... 970/1219    2024-02-22 16:21:37     6.11    2024-02-22 16:46:58
processing data ... 971/1219    2024-02-22 16:21:38     1.43    2024-02-22 16:27:32
processing data ... 972/1219    2024-02-22 16:21:43     4.48    2024-02-22 16:40:09
processing data ... 973/1219    2024-02-22 16:21:46     3.19    2024-02-22 16:34:50
processing data ... 974/1219    2024-02-22 16:21:49     3.56    2024-02-22 16:36:22
processing data ... 975/1219    2024-02-22 16:21:52     2.79    2024-02-22 16:33:13
processing data ... 976/1219    2024-02-22 16:21:53     1.26    2024-02-22 16:26:59
processing data ... 977/1219    2024-02-22 16:21:55     1.66    2024-02-22 16:28:38
processing data ... 978/1219    2024-02-22 16:21:56     1.18    2024-02-22 16:26:42
processing data ... 979/1219    2024-02-22 16:21:58     1.63    2024-02-22 16:28:28
processing data ... 980/1219    2024-02-22 16:22:01     2.63    2024-02-22 16:32:30
processing data ... 981/1219    2024-02-22 16:22:02     1.76    2024-02-22 16:29:02
processing data ... 982/1219    2024-02-22 16:22:05     2.75    2024-02-22 16:32:57
processing data ... 983/1219    2024-02-22 16:22:07     1.7     2024-02-22 16:28:48
processing data ... 984/1219    2024-02-22 16:22:08     1.13    2024-02-22 16:26:33
processing data ... 985/1219    2024-02-22 16:22:09     1.57    2024-02-22 16:28:17
processing data ... 986/1219    2024-02-22 16:22:12     2.87    2024-02-22 16:33:20
processing data ... 987/1219    2024-02-22 16:22:14     1.22    2024-02-22 16:26:57
processing data ... 988/1219    2024-02-22 16:22:15     1.49    2024-02-22 16:27:58
processing data ... 989/1219    2024-02-22 16:22:17     1.5     2024-02-22 16:28:02
processing data ... 990/1219    2024-02-22 16:22:18     1.29    2024-02-22 16:27:12
processing data ... 991/1219    2024-02-22 16:22:19     1.15    2024-02-22 16:26:41
processing data ... 992/1219    2024-02-22 16:22:21     1.56    2024-02-22 16:28:14
processing data ... 993/1219    2024-02-22 16:22:22     1.84    2024-02-22 16:29:18
processing data ... 994/1219    2024-02-22 16:22:24     1.72    2024-02-22 16:28:52
processing data ... 995/1219    2024-02-22 16:22:26     1.9     2024-02-22 16:29:31
processing data ... 996/1219    2024-02-22 16:22:28     1.73    2024-02-22 16:28:54
processing data ... 997/1219    2024-02-22 16:22:29     1.72    2024-02-22 16:28:52
processing data ... 998/1219    2024-02-22 16:22:31     1.65    2024-02-22 16:28:35
processing data ... 999/1219    2024-02-22 16:22:34     2.85    2024-02-22 16:33:00
processing data ... 1000/1219   2024-02-22 16:22:36     2.08    2024-02-22 16:30:11
processing data ... 1001/1219   2024-02-22 16:22:41     5.4     2024-02-22 16:42:18
processing data ... 1002/1219   2024-02-22 16:22:44     2.06    2024-02-22 16:30:11
processing data ... 1003/1219   2024-02-22 16:22:45     1.41    2024-02-22 16:27:48
processing data ... 1004/1219   2024-02-22 16:22:46     1.36    2024-02-22 16:27:38
processing data ... 1005/1219   2024-02-22 16:22:49     2.29    2024-02-22 16:30:58
processing data ... 1006/1219   2024-02-22 16:22:50     1.64    2024-02-22 16:28:40
processing data ... 1007/1219   2024-02-22 16:22:52     1.34    2024-02-22 16:27:36
processing data ... 1008/1219   2024-02-22 16:22:53     1.51    2024-02-22 16:28:11
processing data ... 1009/1219   2024-02-22 16:22:54     1.44    2024-02-22 16:27:57
processing data ... 1010/1219   2024-02-22 16:22:56     1.29    2024-02-22 16:27:26
processing data ... 1011/1219   2024-02-22 16:22:57     1.69    2024-02-22 16:28:50
