전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 170/1219    2024-02-22 15:57:04     1.65    2024-02-22 16:26:00
processing data ... 171/1219    2024-02-22 15:57:06     1.87    2024-02-22 16:29:43
processing data ... 172/1219    2024-02-22 15:57:08     1.9     2024-02-22 16:30:14
processing data ... 173/1219    2024-02-22 15:57:10     1.81    2024-02-22 16:28:45
processing data ... 174/1219    2024-02-22 15:57:12     2.34    2024-02-22 16:38:00
processing data ... 175/1219    2024-02-22 15:57:15     2.59    2024-02-22 16:42:17
processing data ... 176/1219    2024-02-22 15:57:16     1.57    2024-02-22 16:24:33
processing data ... 177/1219    2024-02-22 15:57:19     2.9     2024-02-22 16:47:40
processing data ... 178/1219    2024-02-22 15:57:21     1.95    2024-02-22 16:31:07
processing data ... 179/1219    2024-02-22 15:57:25     3.53    2024-02-22 16:58:36
processing data ... 180/1219    2024-02-22 15:57:29     4.05    2024-02-22 17:07:33
processing data ... 181/1219    2024-02-22 15:57:33     4.35    2024-02-22 17:12:44
processing data ... 182/1219    2024-02-22 15:57:37     3.63    2024-02-22 17:00:26
processing data ... 183/1219    2024-02-22 15:57:44     7.8     2024-02-22 18:12:28
processing data ... 184/1219    2024-02-22 15:57:47     2.41    2024-02-22 16:39:23
processing data ... 185/1219    2024-02-22 15:57:49     2.42    2024-02-22 16:39:34
processing data ... 186/1219    2024-02-22 15:57:52     3.03    2024-02-22 16:50:06
processing data ... 187/1219    2024-02-22 15:57:54     1.73    2024-02-22 16:27:38
processing data ... 188/1219    2024-02-22 15:57:56     1.81    2024-02-22 16:29:07
processing data ... 189/1219    2024-02-22 15:57:59     3.23    2024-02-22 16:53:28
processing data ... 190/1219    2024-02-22 15:58:01     1.7     2024-02-22 16:27:07
processing data ... 191/1219    2024-02-22 15:58:03     2.27    2024-02-22 16:37:00
processing data ... 192/1219    2024-02-22 15:58:05     1.71    2024-02-22 16:27:19
processing data ... 193/1219    2024-02-22 15:58:07     2.11    2024-02-22 16:34:10
processing data ... 194/1219    2024-02-22 15:58:08     1.5     2024-02-22 16:23:45
processing data ... 195/1219    2024-02-22 15:58:10     1.62    2024-02-22 16:25:51
processing data ... 196/1219    2024-02-22 15:58:12     1.82    2024-02-22 16:29:18
processing data ... 197/1219    2024-02-22 15:58:13     1.46    2024-02-22 16:23:09
processing data ... 198/1219    2024-02-22 15:58:15     1.77    2024-02-22 16:28:20
processing data ... 199/1219    2024-02-22 15:58:16     1.33    2024-02-22 16:20:48
processing data ... 200/1219    2024-02-22 15:58:18     1.41    2024-02-22 16:22:11
processing data ... 201/1219    2024-02-22 15:58:20     1.84    2024-02-22 16:29:36
processing data ... 202/1219    2024-02-22 15:58:21     1.81    2024-02-22 16:29:06
processing data ... 203/1219    2024-02-22 15:58:23     2.04    2024-02-22 16:32:57
processing data ... 204/1219    2024-02-22 15:58:25     1.67    2024-02-22 16:26:39
processing data ... 205/1219    2024-02-22 15:58:27     1.56    2024-02-22 16:24:45
processing data ... 206/1219    2024-02-22 15:58:28     1.44    2024-02-22 16:22:43
processing data ... 207/1219    2024-02-22 15:58:30     1.57    2024-02-22 16:24:57
processing data ... 208/1219    2024-02-22 15:58:31     1.49    2024-02-22 16:23:39
processing data ... 209/1219    2024-02-22 15:58:33     1.56    2024-02-22 16:24:46
processing data ... 210/1219    2024-02-22 15:58:34     1.64    2024-02-22 16:26:12
processing data ... 211/1219    2024-02-22 15:58:37     2.21    2024-02-22 16:35:46
processing data ... 212/1219    2024-02-22 15:58:39     2.04    2024-02-22 16:32:51
processing data ... 213/1219    2024-02-22 15:58:41     1.88    2024-02-22 16:30:17
processing data ... 214/1219    2024-02-22 15:58:42     1.94    2024-02-22 16:31:13
processing data ... 215/1219    2024-02-22 15:58:44     1.62    2024-02-22 16:25:47
processing data ... 216/1219    2024-02-22 15:58:46     2.11    2024-02-22 16:34:05
processing data ... 217/1219    2024-02-22 15:58:48     1.64    2024-02-22 16:26:11
processing data ... 218/1219    2024-02-22 15:58:50     2.06    2024-02-22 16:33:14
